riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,sex,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel,
13.25,8.50,20.00,11.75,10.00,12.50,20.00,10.00,11.75,18.50,8.50,14.75,m,15.75,14.00,16.50,12.00,16.20,10.75,18.00,17.80,14.42,
10.00,11.00,10.00,14.00,11.50,10.25,5.50,13.00,11.50,10.00,15.00,18.80,f,16.50,14.00,16.00,14.00,15.50,11.50,15.00,14.60,14.27,
14.25,12.50,15.60,15.00,16.50,14.50,11.00,18.50,16.75,14.00,15.50,18.10,f,17.25,18.50,16.50,16.50,18.20,19.00,14.00,16.10,16.49,
13.00,8.50,9.50,14.50,14.50,15.00,10.00,14.00,15.50,11.50,16.00,13.20,f,15.25,14.00,13.50,12.00,14.00,12.50,12.50,13.20,13.94,
11.00,0.00,9.90,10.00,9.75,8.00,15.20,11.50,8.00,13.00,10.00,18.85,m,13.00,12.00,15.50,10.50,12.00,10.00,16.50,10.00,12.80,
13.25,8.50,19.00,16.25,9.00,13.50,18.50,16.00,16.25,15.60,18.50,11.00,m,15.75,16.00,14.00,13.50,20.00,15.25,15.50,15.00,15.82,
13.25,13.00,12.90,13.75,12.50,13.00,6.00,14.75,15.00,8.50,14.50,17.10,f,16.25,11.50,14.50,13.00,15.50,12.50,17.00,15.80,14.66,
8.50,7.00,9.75,13.50,11.00,13.65,13.52,9.75,9.00,9.84,13.50,16.75,f,14.50,9.50,12.00,11.50,10.00,11.25,12.00,12.00,13.17,
9.00,7.00,10.00,16.00,11.00,12.50,9.00,9.00,11.50,9.00,14.00,16.75,m,14.50,9.50,12.00,11.50,10.00,11.25,12.00,12.00,13.04,
18.00,18.00,18.50,12.00,17.75,12.50,16.25,14.00,16.75,19.11,14.00,19.00,f,13.00,9.50,13.00,12.00,11.00,16.00,19.50,16.10,13.23,
14.00,9.25,9.20,13.50,13.50,11.00,9.00,8.50,11.00,11.50,12.00,12.20,f,13.00,9.50,13.00,12.00,11.00,16.00,19.50,16.10,13.23,
14.00,15.50,16.70,14.25,19.50,16.00,19.00,14.50,12.25,18.50,13.00,20.00,f,16.25,13.50,17.00,12.50,20.00,15.25,15.00,14.40,16.59,
11.25,12.50,9.80,14.50,16.75,14.25,12.80,17.00,19.00,10.00,13.00,17.30,f,14.00,19.00,15.50,11.50,13.50,12.00,14.50,12.20,14.56,
12.00,11.50,15.00,11.25,14.25,13.25,9.00,12.00,14.75,9.00,10.50,14.75,m,13.50,13.00,13.50,17.00,18.00,15.25,9.00,14.70,14.32,
11.50,9.00,9.90,11.75,12.75,12.50,20.00,11.50,11.00,10.25,19.00,14.50,m,18.25,12.00,14.00,16.00,17.00,15.00,18.00,14.10,14.49,
11.00,10.00,17.60,10.00,9.75,12.25,14.60,12.50,15.00,17.50,13.00,13.20,m,16.75,13.50,16.00,18.50,15.40,16.25,16.00,18.60,15.02,
11.00,9.00,17.20,13.50,8.00,13.25,6.50,15.25,12.50,10.00,11.00,12.90,f,14.00,9.50,12.50,9.75,9.75,12.00,10.00,14.00,12.94,
9.25,7.00,9.00,12.00,10.00,12.50,9.80,12.00,9.50,11.50,10.00,11.10,f,10.25,12.00,15.50,9.75,9.75,10.00,16.00,16.50,12.42,
13.00,8.50,18.10,12.00,9.50,10.00,13.00,10.00,12.50,12.90,11.25,15.25,m,15.75,15.00,15.00,14.50,13.60,10.00,18.50,15.40,14.31,
9.00,0.00,13.70,14.50,9.00,11.50,10.00,10.00,9.00,9.00,12.25,17.10,m,13.50,10.00,12.00,12.00,9.75,10.50,9.00,10.00,12.83,
12.25,0.00,10.00,10.00,12.50,11.50,9.00,10.00,9.50,14.00,18.50,18.00,m,12.00,11.00,15.00,12.25,12.00,14.25,16.50,10.00,13.63,
14.50,11.50,14.40,13.25,17.25,12.00,10.00,13.00,12.50,14.10,12.50,19.60,m,15.25,15.00,17.50,11.50,15.30,10.00,16.00,17.80,14.86,
13.00,9.00,14.10,14.00,11.50,13.25,16.50,13.50,12.00,12.50,8.50,19.10,m,16.75,17.50,15.00,16.75,19.40,13.25,19.50,19.00,15.23,
13.25,12.50,14.20,13.50,13.50,11.25,8.00,15.00,11.75,13.00,13.50,17.35,m,14.00,11.50,15.00,10.50,9.75,9.75,14.00,14.60,14.07,
15.25,10.50,19.00,17.25,19.75,18.00,20.00,13.00,15.00,17.60,15.60,16.00,m,17.00,13.00,16.00,15.50,12.00,11.75,13.00,18.50,16.43,
11.00,13.60,15.10,9.00,18.50,14.50,12.00,5.00,13.50,12.00,11.00,15.40,f,14.50,11.50,17.00,9.75,15.00,9.75,11.00,13.50,14.74,
11.25,12.00,16.70,10.00,14.25,9.75,8.00,12.00,12.50,9.50,13.50,14.25,m,15.25,16.00,15.00,13.00,15.00,10.00,12.25,10.00,13.87,
12.00,13.50,17.20,10.00,15.00,13.00,10.50,12.50,11.25,12.30,13.50,14.75,f,13.75,9.50,12.50,16.50,15.30,13.25,13.50,15.10,14.42,
11.00,10.50,19.00,11.50,11.00,12.25,17.50,10.00,17.00,15.60,16.50,18.10,m,15.75,16.50,18.00,18.50,15.30,13.75,15.00,18.50,16.17,
13.00,10.50,13.20,13.00,12.00,10.50,9.50,15.00,15.00,17.50,15.50,19.10,m,13.75,17.50,13.50,11.00,9.75,10.50,13.50,16.70,14.67,
13.75,14.00,19.80,14.50,14.50,11.25,15.50,11.00,14.00,17.90,13.00,17.00,m,15.00,10.00,12.00,15.50,13.60,17.00,16.50,14.50,14.82,
15.25,12.50,15.50,15.00,13.50,14.75,7.50,15.00,17.50,10.00,16.50,19.00,f,18.00,16.50,13.00,16.50,17.50,16.00,14.50,16.20,15.68,
15.50,9.50,18.20,15.25,9.00,12.00,17.50,12.00,11.25,13.20,12.50,17.00,m,14.75,11.00,13.00,12.50,10.50,10.50,16.50,13.20,14.05,
15.75,14.25,15.00,17.50,16.50,14.00,10.00,18.00,11.50,11.80,13.50,18.80,f,13.00,9.50,14.50,10.00,9.50,10.00,12.75,12.90,14.98,
14.00,12.00,0.00,16.25,10.50,12.00,10.00,14.00,111.00,8.50,12.00,16.80,m,14.25,9.50,12.00,15.00,16.00,12.50,14.50,10.00,11.90,
11.25,12.00,9.90,15.75,14.25,10.75,14.30,12.50,16.75,13.00,15.50,18.10,f,15.00,11.00,13.00,13.50,15.50,13.75,16.00,13.60,14.48,
13.00,13.00,13.00,14.75,16.00,14.50,16.50,13.00,13.50,16.20,19.50,17.00,m,18.00,17.00,19.00,18.50,16.70,15.50,16.00,20.00,16.78,
13.75,10.00,16.30,9.00,10.75,10.00,11.50,13.00,16.00,16.90,14.00,15.90,m,15.50,17.50,14.00,12.00,12.50,10.50,17.00,16.40,14.81,
11.00,7.00,16.50,11.75,12.00,6.00,10.00,12.00,10.00,10.00,13.25,11.90,m,13.00,14.00,12.50,11.50,10.00,13.00,12.50,11.00,12.25,
11.00,9.50,8.50,11.75,6.00,12.00,11.60,20.00,19.00,10.25,13.00,16.40,f,13.00,15.00,16.00,11.50,13.00,16.75,11.00,12.00,14.05,
14.00,15.50,16.70,14.25,19.50,16.00,19.00,14.50,12.25,18.50,13.00,20.00,f,13.50,17.50,15.00,10.25,13.50,10.00,12.00,9.50,12.79,
11.00,6.00,8.00,9.00,13.30,13.00,10.60,10.50,12.50,8.50,17.50,16.10,m,13.50,9.50,15.00,10.25,0.00,10.00,12.00,9.50,13.01,
11.00,0.00,9.00,11.75,13.00,14.00,14.20,10.00,16.00,11.75,15.00,16.80,m,14.25,17.50,16.50,14.00,14.50,15.00,15.00,14.80,14.86,
11.50,8.50,9.90,16.75,11.25,11.75,10.00,11.25,10.50,10.25,13.20,16.70,f,13.00,13.00,15.00,10.00,10.00,11.25,10.00,12.30,12.89,
13.25,8.50,19.00,16.25,9.00,13.50,18.50,16.00,16.25,15.60,18.50,11.00,m,12.00,14.00,18.50,12.75,12.00,11.25,16.50,14.00,15.29,
13.25,13.00,12.90,13.75,12.50,13.00,6.00,14.75,15.00,8.50,14.50,17.10,f,15.25,17.00,18.50,15.50,10.00,11.25,13.50,15.75,15.36,
15.50,11.00,13.50,10.00,7.00,11.00,10.00,16.50,16.00,14.00,16.60,12.78,f,12.89,16.00,19.25,12.50,9.75,15.00,17.00,17.00,14.62,
10.00,11.00,20.00,10.00,9.50,11.00,14.50,9.00,12.50,16.00,11.10,17.25,m,10.92,13.00,16.50,12.50,9.75,10.00,14.00,17.00,13.93,
10.00,11.25,17.00,11.50,16.50,13.50,9.50,16.50,16.00,14.00,10.40,11.90,m,10.92,10.00,15.00,13.75,14.00,15.00,17.00,18.00,14.90,
13.75,12.00,10.00,9.50,9.50,12.00,6.50,13.00,14.00,9.50,13.50,14.95,m,10.00,9.50,17.75,10.25,11.00,12.00,10.00,13.00,12.89,
12.00,11.00,16.50,9.50,6.00,8.50,10.50,9.00,9.50,9.50,14.50,18.60,m,17.00,11.00,18.00,16.25,12.00,15.75,14.00,13.00,12.46,
13.50,13.50,15.00,19.50,15.50,11.50,12.60,15.50,17.60,11.55,17.00,17.20,m,16.00,14.26,14.00,13.50,20.00,15.25,15.50,15.00,15.59,
15.00,12.00,14.00,10.00,10.00,14.00,7.00,15.00,13.75,13.25,15.00,12.35,m,13.42,18.00,18.75,12.00,13.50,16.25,17.50,18.00,14.92,
14.00,10.00,11.50,13.75,10.00,13.00,9.80,12.50,18.00,11.75,14.90,20.00,f,12.00,12.00,19.25,14.00,15.50,12.50,16.50,12.75,14.55,
11.00,8.50,8.00,16.50,10.00,9.00,13.00,13.50,15.00,10.00,12.60,10.85,f,12.00,18.00,18.75,10.00,13.50,15.00,12.00,11.75,13.22,
13.00,8.00,9.50,17.25,15.50,12.00,18.60,12.50,14.50,10.00,15.50,16.40,f,14.32,10.00,18.75,13.25,16.00,15.75,17.50,18.50,14.69,
12.00,8.00,9.80,11.00,12.00,10.50,14.00,9.00,9.50,10.00,10.00,12.55,m,12.17,16.00,16.50,11.75,8.00,10.00,13.50,10.00,12.79,
10.00,11.00,12.50,10.00,15.00,12.50,6.50,12.50,17.50,16.00,16.40,14.05,m,12.35,16.00,18.75,16.00,17.50,16.50,18.00,18.50,15.18,
16.25,10.50,9.00,16.75,8.75,14.00,11.25,14.00,17.00,8.50,15.60,13.85,f,12.17,10.00,18.75,12.25,12.50,16.00,15.50,17.50,14.39,
14.00,10.75,13.50,12.25,13.75,11.00,11.00,11.00,16.75,11.50,13.60,10.85,f,10.03,9.50,16.50,10.50,13.00,10.75,17.00,9.75,13.60,
10.00,13.00,16.00,10.50,7.00,10.50,18.50,11.00,13.75,11.50,15.50,12.20,m,12.71,15.00,16.50,13.00,10.00,13.50,16.50,12.75,14.04,
11.50,10.00,9.50,18.75,10.00,13.00,12.25,20.00,17.25,9.25,20.00,17.05,f,11.28,11.00,17.75,12.00,10.00,15.00,15.00,16.50,14.47,
12.25,12.00,16.50,10.50,10.00,11.50,8.50,11.50,11.00,11.50,14.20,13.50,m,12.53,9.50,19.50,10.25,9.00,10.00,11.00,14.00,13.74,
10.00,8.50,9.50,14.25,9.00,11.50,9.50,17.50,15.75,13.00,14.70,16.30,f,10 .21,11.00,19.25,10.50,12.50,10.00,11.00,13.50,13.51,
16.25,13.60,8.00,10.00,8.00,18.00,9.75,7.00,10.00,9.72,17.00,14.00,m,10.00,9.50,17.00,11.25,9.75,,10.00,10.00,12.41,
12.00,10.20,9.50,9.00,7.00,19.50,9.75,7.00,9.00,10.37,14.00,15.00,m,16.00,14.00,18.00,9.00,9.49,10.50,10.50,10.00,12.69,
14.25,6.30,13.00,12.50,14.00,13.75,16.75,13.00,9.00,17.75,15.50,14.50,m,14.00,9.50,20.00,11.00,10.00,10.00,14.50,,13.81,
10.50,10.40,12.00,8.50,8.50,16.50,10.50,9.00,12.50,9.25,11.00,15.25,m,12.25,9.50,17.50,10.00,12.10,10.00,15.80,12.00,12.14,
8.75,13.40,13.00,10.00,10.50,12.00,13.00,8.00,9.50,18.00,13.00,16.25,m,4.00,17.00,15.00,18.23,14.20,11.00,15.00,9.00,13.72,
10.00,9.30,10.00,10.50,9.50,17.00,12.50,7.00,10.50,14.50,16.00,14.50,f,11.25,9.50,16.25,12.50,11.50,10.50,14.50,14.00,13.32,
17.75,10.00,13.75,9.00,10.50,17.75,9.00,13.75,9.75,9.30,14.00,11.25,f,11.00,10.00,16.00,12.50,10.00,9.75,9.00,14.50,13.06,
10.00,11.90,14.00,9.00,7.00,16.50,9.75,11.50,12.25,13.66,18.00,12.25,f,15.00,14.00,20.00,16.50,9.44,10.75,14.50,14.50,14.00,
19.00,11.80,14.50,15.50,14.50,20.00,14.90,15.50,15.50,16.50,20.00,16.00,f,17.50,11.00,20.00,17.25,13.50,18.00,13.00,20.00,16.38,
16.25,11.50,12.00,9.00,7.00,16.75,9.00,12.00,10.00,9.43,14.00,13.00,f,11.00,9.50,20.00,13.50,9.81,11.50,10.00,11.75,13.59,
15.25,11.10,13.00,11.00,7.00,18.50,9.75,7.00,9.00,14.82,15.00,17.00,f,19.50,18.00,19.25,20.00,12.30,20.00,15.50,16.00,14.93,
16.00,15.40,12.00,16.50,10.00,18.50,16.25,15.75,14.50,17.00,16.00,17.00,f,15.50,16.00,20.00,18.50,10.70,15.25,17.00,18.50,16.25,
20.00,17.20,9.50,19.50,18.00,20.00,17.00,18.50,17.25,20.00,18.00,17.25,f,17.50,15.00,20.00,20.00,11.00,17.50,16.50,18.50,17.70,
14.00,12.50,17.00,10.00,11.00,20.00,18.50,13.75,13.50,19.25,19.00,18.25,m,16.50,10.00,20.00,16.75,17.00,17.25,19.50,16.00,15.84,
10.25,17.00,20.00,11.50,18.00,19.75,20.00,7.00,10.00,19.25,18.50,19.00,m,4.00,17.00,15.00,18.23,14.20,11.00,15.00,9.00,13.23,
17.75,15.20,19.50,11.50,15.50,19.00,17.50,10.00,9.75,19.00,18.25,17.75,m,17.00,16.00,18.50,15.00,18.00,17.50,17.50,10.00,15.26,
15.75,13.10,9.80,12.50,8.00,17.00,12.00,10.25,9.00,15.25,17.50,19.50,m,12.25,14.00,20.00,15.25,9.63,11.50,16.50,9.00,14.66,
20.00,18.10,19.75,17.50,18.00,20.00,17.60,16.00,15.50,16.00,15.00,16.25,m,19.00,18.00,20.00,17.25,17.00,19.25,18.00,19.00,17.86,
16.75,10.70,11.50,10.00,7.00,19.75,13.30,9.50,13.25,15.00,20.00,11.50,f,19.00,15.00,20.00,18.50,17.00,17.25,19.00,19.00,15.45,
19.50,13.90,14.50,13.00,12.00,19.25,14.70,18.00,14.00,15.75,16.25,14.75,f,14.00,15.00,15.25,15.75,12.00,17.00,16.00,19.00,15.62,
16.00,10.30,14.00,9.00,12.00,17.25,12.50,11.50,11.25,17.50,20.00,11.75,f,18.00,17.00,20.00,17.75,10.00,15.25,19.50,16.00,15.40,
10.50,11.80,10.50,9.00,8.00,17.50,11.25,9.75,11.00,12.89,14.50,13.00,f,11.25,11.00,20.00,16.25,10.00,11.25,13.00,15.25,13.45,
17.50,12.00,8.50,14.00,12.00,18.00,12.25,9.75,12.00,9.00,14.00,15.00,m,14.50,14.00,20.00,16.00,9.72,13.25,14.00,17.00,14.73,
10.00,11.90,13.50,8.50,7.00,11.75,10.00,9.00,9.00,10.00,9.00,12.00,m,16.00,9.50,17.25,13.18,11.00,10.00,14.00,10.00,11.38,
15.75,12.50,13.00,12.50,7.50,19.50,9.75,12.50,9.25,16.51,18.00,12.50,m,14.50,14.00,18.75,16.50,9.77,13.50,17.00,11.50,14.59,
14.25,12.70,13.50,8.50,10.50,13.00,9.75,13.50,12.69,16.00,16.00,13.50,f,10.50,16.00,18.00,11.25,10.00,10.00,10.50,20.00,14.29,
13.75,9.00,8.50,9.00,13.50,19.25,9.75,9.00,11.75,17.07,16.50,10.00,f,15.25,11.00,20.00,14.50,13.00,16.25,14.50,16.50,13.50,
13.75,12.60,9.50,10.00,7.00,17.75,9.75,7.50,11.50,10.73,17.50,9.75,f,13.25,11.00,14.50,12.50,10.00,10.00,10.00,13.00,12.41,
13.25,8.30,9.20,11.00,15.00,19.50,10.00,14.00,13.00,11.38,17.50,16.50,f,15.00,15.00,20.00,14.25,9.40,13.50,12.75,18.50,14.70,
15.50,8.30,11.00,10.00,9.50,11.75,14.75,10.00,15.00,10.00,14.00,9.75,m,13.00,10.00,15.75,11.25,9.17,10.00,9.50,17.00,13.06,
17.25,10.00,9.80,11.50,10.00,19.00,12.00,18.00,11.00,16.50,17.00,15.00,f,16.00,17.00,20.00,15.75,10.20,15.25,16.00,18.50,15.81,
16.00,8.20,13.50,9.50,9.00,10.00,9.75,9.50,10.00,17.75,20.00,14.45,f,15.25,18.00,20.00,20.00,10.10,17.50,14.75,20.00,14.07,
15.00,12.30,9.80,8.50,12.00,17.00,14.50,14.50,10.50,12.69,14.00,12.00,f,15.50,11.00,20.00,13.50,9.43,12.00,12.00,18.50,14.26,
12.50,9.10,9.80,10.00,13.75,17.00,12.50,14.00,10.80,13.00,14.00,13.75,m,12.25,15.00,17.50,17.00,10.00,12.50,19.50,11.75,14.03,
12.00,17.00,15.50,19.50,19.00,20.00,10.00,19.00,9.50,10.00,10.00,13.25,m,16.00,15.25,19.00,11.60,14.67,10.50,11.00,12.00,13.85,
13.50,20.00,19.00,17.75,18.00,20.00,17.36,15.00,10.00,16.07,20.00,17.50,m,20.00,13.50,19.50,16.60,13.84,20.00,16.75,15.50,13.96,
12.00,8.50,10.50,16.00,13.50,15.50,11.04,13.50,14.25,11.13,16.00,19.00,f,10.00,13.00,19.25,17.75,12.54,16.75,10.00,18.00,15.08,
7.00,10.00,9.75,12.50,8.25,15.71,10.00,,9.50,9.73,14.25,15.50,f,12.00,16.50,16.50,17.98,15.56,17.50,11.00,12.25,13.66,
8.00,7.50,11.00,12.00,10.00,15.20,10.00,12.00,13.50,10.00,10.25,20.00,f,12.00,17.25,15.75,15.57,13.88,16.50,15.80,13.50,13.57,
7.00,7.00,9.75,10.00,10.00,12.26,11.15,8.00,9.25,9.71,15.25,16.75,m,10.00,9.50,16.75,12.96,14.33,17.25,11.54,15.50,12.78,
12.00,15.25,10.50,9.75,10.00,9.25,9.00,10.00,10.00,12.82,12.00,17.00,f,14.25,9.50,15.00,15.00,9.53,20.00,9.20,9.00,12.92,
14.00,8.00,11.75,13.75,13.00,14.00,16.07,10.25,16.00,14.19,15.25,16.75,f,13.50,13.00,17.00,18.36,15.30,18.00,18.50,19.00,15.29,
19.00,17.00,17.25,14.50,18.50,15.00,19.25,17.00,16.75,18.95,19.00,20.00,f,16.50,20.00,19.00,19.02,19.00,20.00,18.50,18.75,18.17,
17.50,15.00,14.50,12.00,17.50,16.75,9.00,13.00,16.00,18.00,18.50,18.75,f,11.50,12.00,19.75,18.08,17.36,20.00,14.50,18.75,16.61,
10.25,12.50,13.75,9.75,11.25,12.50,17.41,10.00,14.50,14.23,16.00,18.75,m,11.50,12.00,14.75,15.55,12.78,13.75,9.40,12.50,14.46,
10.50,11.00,9.75,16.50,14.75,13.50,11.59,9.00,12.00,14.87,11.50,17.50,m,9.50,15.00,18.50,11.63,12.62,13.75,14.25,13.25,13.91,
13.25,13.00,11.00,10.00,15.00,11.00,13.43,20.00,11.00,13.23,12.75,16.75,m,11.00,10.00,13.50,15.20,15.84,17.75,9.00,16.25,14.25,
11.00,11.50,11.50,11.25,12.75,11.00,17.00,10.00,9.50,13.40,11.25,17.00,m,15.00,13.00,13.75,16.83,11.58,16.00,10.00,10.00,13.39,
11.00,13.25,12.50,10.50,12.75,14.50,19.50,13.00,14.50,17.25,14.25,18.50,m,19.00,10.00,18.00,19.77,13.85,13.25,9.00,18.00,15.44,
12.00,12.50,9.75,15.75,10.00,12.00,10.16,,13.00,13.87,10.75,16.50,m,9.50,12.00,11.00,11.59,10.76,15.50,11.75,17.00,13.36,
