riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,sex,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel,
12.00,16.75,12.75,9.75,19.00,11.50,9.50,17.75,14.25,9.68,4.75,16.50,m,10.50,12.75,19.00,11.84,12.06,11.00,7.70,10.00,13.38,
13.50,8.25,14.25,11.25,18.50,13.50,16.52,17.00,14.50,16.00,17.00,18.50,m,12.00,12.00,20.00,17.00,14.42,20.00,20.00,20.00,15.99,
16.00,18.50,18.00,13.00,14.00,14.50,18.50,16.25,17.00,14.71,16.50,18.75,m,16.00,12.00,16.75,18.50,11.00,17.75,12.00,20.00,16.51,
8.00,7.00,9.75,13.00,,13.62,10.00,8.00,12.50,11.86,14.25,16.25,m,14.00,15.50,14.50,10.72,9.86,12.25,9.00,12.00,12.74,
12.00,10.00,13.75,10.00,17.00,14.50,11.44,10.00,13.25,14.50,13.25,16.75,m,12.00,13.00,13.50,10.78,14.71,16.25,16.75,11.75,13.51,
8.50,16.00,14.75,10.00,18.75,14.96,12.72,9.00,9.25,13.39,16.50,15.75,m,16.00,13.25,15.75,11.89,13.44,11.00,7.00,12.25,13.44,
10.00,17.75,9.75,12.25,16.00,12.50,10.00,10.00,15.25,15.50,13.50,19.00,f,11.00,12.00,17.50,17.67,17.07,19.50,15.25,16.00,14.78,
16.00,15.75,9.75,7.00,16.75,12.50,10.00,12.00,15.50,13.91,17.00,20.00,f,10.00,11.00,18.00,13.56,13.15,11.00,12.25,19.50,14.43,
10.00,10.50,12.50,10.00,13.25,16.00,13.37,11.00,14.75,13.02,14.00,18.75,m,10.00,9.50,17.25,14.13,13.03,16.25,14.00,14.50,14.18,
11.00,10.00,12.00,10.00,14.00,8.75,10.00,11.00,9.50,11.38,10.00,16.25,f,13.25,9.50,17.50,10.50,13.46,15.50,12.00,12.00,12.96,
10.00,11.00,9.75,17.00,10.00,10.00,10.00,16.50,10.00,7.75,11.75,15.50,m,10.00,9.50,14.25,13.20,10.00,11.75,7.90,16.75,12.87,
12.00,15.50,9.75,13.25,13.25,11.50,15.32,12.00,16.50,13.90,18.50,19.25,f,18.00,20.00,19.75,17.13,15.39,17.75,15.50,18.00,15.88,
8.50,11.75,9.00,12.00,8.50,10.00,9.50,10.00,11.50,12.37,10.00,17.00,f,10.00,9.50,18.00,12.20,11.06,10.00,12.00,10.00,12.78,
10.00,10.00,9.75,11.25,13.00,11.00,10.00,19.25,15.50,9.72,5.75,16.50,f,10.00,13.25,20.00,13.36,11.40,15.00,8.30,12.50,13.20,
13.00,14.50,14.00,9.75,12.50,13.50,16.50,10.00,11.00,14.29,15.25,16.75,m,14.00,18.00,17.25,16.81,14.93,17.75,16.00,17.50,15.22,
11.00,16.25,16.00,12.75,13.00,13.00,18.75,10.00,14.25,15.77,15.00,18.75,m,12.00,15.00,16.25,18.19,17.95,20.00,20.00,15.25,15.43,
8.00,10.25,10.50,14.00,14.25,10.65,10.00,9.00,9.25,10.00,17.00,16.00,f,12.00,18.00,17.25,15.03,9.51,10.00,8.18,13.50,13.33,
12.00,11.50,14.00,15.00,16.50,15.50,17.16,11.25,13.50,14.36,18.50,16.50,f,14.00,17.00,18.75,15.22,12.69,19.00,13.20,18.00,15.69,
11.50,16.00,9.75,11.50,17.75,10.75,10.56,12.00,15.50,10.00,15.75,18.00,f,10.00,9.50,16.50,13.04,12.00,16.75,8.30,17.75,13.83,
10.00,10.00,13.00,9.75,7.00,8.50,13.50,8.00,10.00,12.52,13.50,18.50,m,10.50,9.50,15.50,10.67,13.31,12.50,8.70,15.00,12.94,
11.00,11.75,9.75,16.00,13.75,13.50,10.00,10.00,15.00,10.11,15.25,17.50,f,10.00,13.00,19.75,16.19,12.25,16.50,10.00,15.75,14.41,
13.00,7.00,9.75,12.75,9.50,10.00,9.69,11.00,8.50,10.00,13.75,14.00,m,10.00,13.50,12.25,15.53,11.85,9.75,13.00,19.50,11.79,
10.00,14.00,10.50,9.50,10.00,13.50,10.00,11.50,7.00,13.30,18.00,18.50,m,10.25,11.25,16.50,13.75,11.35,13.50,13.50,10.00,13.01,
11.00,14.75,10.50,14.00,15.50,19.00,10.83,14.00,9.00,16.58,16.25,16.50,f,16.00,,16.75,12.50,16.94,18.25,14.75,15.00,15.39,
15.00,11.50,13.75,12.50,9.50,11.25,12.26,15.00,10.00,11.40,12.75,11.45,f,14.00,13.25,17.00,16.10,11.88,,13.75,12.50,12.50,
5.50,13.00,19.50,9.00,8.00,11.00,19.90,,9.40,15.50,12.00,16.75,m,13.70,12.25,11.25,16.25,10.00,11.50,15.00,,13.54,
10.50,10.51,10.25,11.50,10.00,14.50,9.69,,12.40,17.98,17.25,17.25,m,13.50,9.75,16.50,12.75,10.26,14.50,16.50,,14.32,
14.00,14.00,16.00,16.00,15.50,17.00,11.34,16.00,14.50,18.56,17.25,16.00,f,18.75,14.25,15.50,16.50,17.69,20.00,17.25,18.00,16.22,
12.75,14.50,13.25,14.00,16.00,18.00,9.76,18.00,14.50,19.32,18.75,16.75,f,20.00,10.75,16.75,17.75,19.22,20.00,19.00,17.00,17.01,
10.00,14.50,9.00,10.00,8.00,13.75,10.06,11.00,5.50,12.82,10.25,17.00,m,15.00,11.75,14.25,12.00,9.82,14.25,14.75,14.75,13.09,
12.50,14.50,14.75,13.00,10.00,14.50,19.18,13.00,9.00,15.12,20.00,16.00,m,15.50,9.50,15.00,15.75,10.00,15.50,12.25,14.50,14.15,
10.75,10.50,14.75,12.50,9.50,16.00,14.15,14.50,9.25,14.10,16.75,16.25,m,19.00,10.25,15.50,16.00,11.04,19.75,14.50,17.00,14.44,
12.25,13.00,19.75,12.00,8.50,18.75,19.00,11.00,12.60,20.00,14.00,18.75,m,19.00,9.75,17.50,11.00,15.54,14.75,18.50,18.50,15.10,
10.00,12.59,10.50,9.00,9.50,10.00,10.00,,8.75,10.00,19.00,16.25,f,16.25,10.25,15.50,12.00,12.77,15.25,10.00,14.50,13.18,
11.00,14.50,9.50,13.00,9.00,10.50,10.24,,8.00,9.70,9.75,16.00,f,14.00,,15.75,16.75,11.04,10.00,14.00,14.00,13.27,
13.75,16.50,18.25,10.00,15.00,16.00,11.98,13.00,14.00,13.69,14.50,16.75,f,18.00,13.00,13.50,13.50,13.26,15.00,18.75,16.50,15.64,
12.00,12.00,12.50,10.50,8.00,14.00,9.84,,8.00,10.00,13.00,17.25,f,15.25,9.75,16.00,12.75,9.62,14.50,10.00,,13.08,
17.00,12.50,11.00,15.50,10.00,17.50,13.78,,14.00,16.64,20.00,17.25,f,18.50,16.25,16.00,14.50,13.62,20.00,17.25,18.00,15.91,
12.25,14.00,16.50,15.00,14.00,16.75,12.96,11.00,6.50,17.27,13.75,18.00,m,12.25,9.50,16.00,15.50,11.19,15.00,18.00,17.00,14.74,
10.00,7.50,10.00,9.00,,10.00,11.09,9.75,8.00,12.75,10.00,19.00,m,10.00,,9.50,10.00,9.29,12.00,13.50,11.25,11.32,
10.75,12.75,12.50,14.00,8.50,11.25,13.62,11.50,11.25,11.80,10.00,15.00,m,14.25,,10.75,10.00,10.00,10.00,9.75,,12.29,
10.00,11.25,9.00,15.00,9.50,16.00,10.65,,8.00,10.00,17.25,16.50,m,15.25,,17.00,13.25,10.22,,15.75,14.00,13.40,
10.00,7.75,9.50,10.50,10.00,12.50,14.92,10.50,14.00,12.73,10.00,17.50,m,11.75,15.00,14.50,17.30,12.71,20.00,16.00,16.50,13.72,
12.50,8.00,10.00,13.00,13.50,14.50,10.00,18.50,18.00,13.00,19.25,18.00,m,17.75,11.75,15.25,13.50,17.25,20.00,16.25,13.50,14.81,
7.50,11.00,5.00,13.00,9.00,12.50,9.83,,14.00,10.00,13.00,15.50,m,10.00,9.75,16.00,12.75,10.00,,10.75,10.00,11.82,
11.00,8.25,14.25,13.00,11.50,17.75,10.00,17.75,13.00,15.98,14.25,17.00,m,16.00,,14.25,12.75,14.80,15.75,11.50,15.50,14.61,
10.25,12.00,12.50,13.00,10.00,18.25,10.48,13.50,8.25,13.36,15.00,16.00,m,13.00,12.75,16.00,16.00,12.83,14.00,14.50,19.00,14.08,
10.00,9.50,10.50,9.00,10.00,17.00,9.15,9.00,8.20,11.46,14.00,16.50,f,10.00,11.50,15.00,12.00,11.52,14.25,15.25,,16.02,
12.75,10.00,6.00,13.00,13.00,14.75,12.03,,6.00,11.04,15.00,15.75,f,10.00,9.50,14.00,10.25,12.40,17.25,14.50,14.00,12.48,
11.00,10.00,9.75,16.00,16.50,18.50,17.96,15.50,11.00,19.09,16.25,17.50,f,19.25,14.25,11.50,17.25,15.54,17.75,16.50,13.00,15.82,
11.00,12.25,8.00,16.50,12.00,13.50,13.62,14.25,13.00,14.14,20.00,17.00,f,15.00,15.50,11.75,13.00,16.10,20.00,15.00,13.00,15.04,
12.75,12.75,13.00,11.00,10.00,15.00,14.64,8.00,10.00,15.50,17.00,16.50,f,14.00,12.50,11.00,12.00,10.38,12.50,14.75,13.00,13.82,
10.50,13.75,10.25,12.80,11.00,12.50,17.25,12.00,16.00,14.75,12.37,15.30,f,10.50,,16.20,,14.75,,14.80,16.00,14.37,
10.25,11.75,8.50,13.00,16.00,13.50,15.89,,12.00,14.39,11.25,17.00,f,16.25,12.00,18.25,13.75,16.44,17.00,17.25,16.50,15.11,
13.00,16.00,9.00,16.00,10.00,13.75,16.68,20.00,9.00,13.76,15.75,16.00,m,13.50,,15.75,12.00,10.70,17.50,16.25,12.50,14.55,
13.50,13.00,14.00,18.00,19.00,18.75,14.72,17.00,13.00,16.91,20.00,16.50,f,18.00,11.75,13.50,13.75,16.49,15.00,18.25,18.00,16.32,
11.25,18.50,12.25,12.00,10.00,15.00,12.68,16.50,10.25,19.63,17.50,18.00,m,19.50,,15.25,16.00,15.93,19.25,17.25,16.00,15.69,
11.25,12.75,12.75,9.50,11.50,12.75,9.37,,7.00,13.19,11.00,16.50,f,15.50,10.50,15.75,12.00,10.00,13.25,14.50,17.25,13.35,
10.50,18.00,9.00,10.00,9.00,12.25,19.22,18.00,13.00,16.25,20.00,13.00,f,13.50,,17.00,15.50,10.00,,15.50,15.00,15.43,
14.00,19.25,19.25,16.00,16.25,20.00,19.00,18.00,17.50,16.44,18.00,18.00,f,16.75,17.25,15.75,19.10,17.02,17.5,17.50,14.5,17.41,
11.00,12.00,6.00,7.00,9.00,9.00,9.75,,8.90,10.00,12.00,,f,12.00,,,,,10,9.75,,11.75,
10.00,8.50,7.00,16.50,,13.00,9.75,9.00,10.00,9.75,12.50,10.75,f,14.60,,,16.00,11.69,,12.00,,12.38,
10.00,11.00,8.75,17.00,9.00,13.50,17.50,9.75,9.10,14.13,9.00,15.50,m,10.00,,14.00,,11.25,,13.50,10,13.72,
14.00,16.25,10.50,20.00,15.75,12.50,15.25,20.00,16.20,12.96,16.50,20.00,f,17.10,20.00,17.75,18.00,12.98,17,17.25,19.5,16.89,
11.5,15.25,9,13,9,15,11.65,11.25,9.3,10,9,9,f,14.7,,,,,,,,13.71,
10.00,16.25,10.50,20.00,10.50,15.00,10.34,18.75,15.00,12.74,11.25,16.25,f,18.00,16.50,17.00,16.75,12.94,14.75,14.25,12.50,15.29,
10.00,11.00,18.00,10.00,10.00,12.00,17.00,10.00,9.30,13.23,9.00,17.00,m,10.00,14.25,16.00,17.25,14.00,,19.00,,14.13,
12.00,15.50,13.50,17.00,12.25,12.50,14.04,19.00,17.60,11.48,14.50,20.00,f,15.10,16.00,17.00,18.75,12.22,16.00,16.00,,16.47,
14.00,13.50,10.50,8.00,7.50,13.15,19.75,14.50,12.00,13.53,13.60,11.40,f,15.90,14.00,16.50,18.75,12.22,,13.00,18.50,14.44,
11.00,13.00,16.50,19.00,10.00,11.00,14.93,17.25,12.40,10.71,9.00,12.75,m,14.40,14.75,15.50,17.50,13.24,14.25,19.00,19.00,15.08,
10.50,16.75,10.50,20.00,11.75,16.00,12.71,19.50,15.60,10.00,13.50,20.00,f,14.50,16.00,15.00,16.50,11.96,,14.50,17.00,15.72,
8.00,12.00,8.50,8.00,9.00,9.75,9.75,,8.90,9.75,12.00,,f,16.25,,,,9.89,13,,,12.06,
12.50,9.25,9.00,18.50,,12.50,10.37,11.50,11.80,10.00,15.50,17.50,f,15.70,,16.00,16.75,11.09,,12.00,,14.16,
10.00,11.00,9.00,20.00,9.00,13.50,16.00,13.00,13.60,11.22,10.00,13.50,f,13.90,18.25,16.00,16.75,11.48,,13.00,,14.68,
10.00,15.25,14.50,15.00,17.00,13.50,11.65,14.00,13.60,11.24,14.25,16.25,m,12.20,13.75,16.00,16.00,14.20,,12.50,17.75,14.92,
14.00,16.25,11.00,19.50,15.50,14.00,10.43,18.00,18.80,10.49,14.50,17.00,f,13.60,19.25,16.00,16.75,10.40,14.00,15.50,,15.50,
8.00,10.50,8.00,11.50,,16.50,10.00,11.50,15.00,10.00,18.50,15.75,m,14.00,,16.00,,10.00,15,14.00,,13.51,
12.00,15.25,10.00,20.00,11.75,13.00,16.35,15.50,12.60,10.35,14.25,12.25,f,17.60,13.50,18.00,17.75,14.77,14.00,14.50,15.50,15.22,
13.50,18.50,10.50,12.50,9.00,11.00,11.95,10.00,12.40,10.55,9.00,13.50,m,11.80,17.25,17.00,16.00,12.13,,16.00,,13.95,
10.00,12.00,16.00,16.50,10.00,14.00,20.00,9.75,8.90,17.64,10.50,13.00,m,16.50,14.75,14.00,18.50,10.74,,15.50,,14.52,
12.00,14.25,11.00,13.00,9.00,12.00,18.75,11.50,8.70,14.88,10.00,12.75,m,17.00,14.75,17.00,16.00,13.31,,11.00,,13.90,
14.50,16.00,10.75,20.00,14.00,14.00,16.95,20.00,19.00,10.00,17.00,19.75,f,18.00,19.75,17.50,19.25,12.52,16.25,15.00,19.00,16.76,
12.00,13.50,20.00,15.50,10.00,20.00,17.29,11.00,18.00,15.23,15.50,15.50,m,12.90,16.75,17.00,18.75,11.09,,18.50,18.75,15.77,
11.00,18.00,9.00,19.50,13.00,14.00,14.00,10.00,15.40,10.42,9.00,16.25,f,15.60,17.25,17.00,18.00,12.36,14.50,16.50,,15.22,
20.00,14.00,18.50,14.75,,17.25,13.75,16.25,15.00,9.80,,,f,14.50,,,,12.77,13.75,,18,15.37,
12.50,15.25,11.50,17.00,10.00,13.00,12.36,15.25,11.40,10.00,12.00,14.00,f,16.00,15.25,18.00,17.50,12.02,15.25,15.00,14.50,14.78,
15.00,15.75,9.00,19.00,9.00,14.00,13.50,12.50,13.40,9.75,10.00,17.00,f,15.20,,15.00,16.00,10.00,,16.00,15.50,14.06,
11.00,15.75,10.00,15.50,9.00,10.00,9.51,10.50,15.20,9.90,9.00,12.00,m,12.10,,13.00,15.75,10.00,,13.00,16.00,13.19,
8.00,10.50,11.00,10.50,,10.00,10.88,,14.00,9.72,10.00,16.50,m,10.00,15.75,16.00,15.00,9.95,,15.00,16.00,13.05,
8.00,6.00,10.00,7.00,,11.25,14.00,9.75,10.00,14.59,13.25,13.50,m,10.00,,10.00,,10.00,,13.00,11.50,12.09,
8.00,11.00,11.00,15.50,9.00,10.00,10.00,,14.00,9.60,6.25,14.50,m,,13.00,16.50,,,,,10.00,12.57,
18.00,14.50,13.95,19.00,15.00,11.00,9.75,15.50,15.00,10.42,16.25,18.50,m,16.00,14.25,16.00,10.00,8.00,,14.00,15.50,14.74,
10.00,11.00,10.30,15.00,8.00,14.00,9.59,11.00,9.00,9.73,16.75,15.50,f,16.75,,14.50,9.50,9.58,,11.00,13.75,13.04,
12.70,12.00,11.10,14.50,10.00,15.00,10.35,16.50,10.40,11.47,18.00,14.25,f,11.00,16.75,14.00,9.00,10.00,14.50,11.00,15.25,13.96,
13.90,15.50,16.30,17.00,10.00,14.00,10.00,14.50,13.60,10.00,1.00,17.00,f,14.75,16.25,16.50,15.50,12.37,15.75,14.50,19.00,15.54,
18.70,19.50,17.25,18.00,10.00,15.50,14.41,14.75,17.80,13.35,20.00,20.00,m,17.50,16.00,16.00,12.50,11.99,,16.25,19.00,16.81,
10.00,12.00,11.05,13.00,10.00,13.00,10.00,13.50,13.20,9.85,17.00,15.75,f,14.50,11.00,18.00,11.50,11.44,13.75,15.00,17.50,14.02,
8.00,9.50,10.00,9.00,8.00,10.00,11.00,,,9.81,10.00,15.50,f,14.25,11.50,14.00,9.00,,,10.00,,12.54,
10.00,10.00,10.00,11.00,8.00,15.00,10.00,9.00,9.40,9.73,10.50,15.50,f,10.25,,16.50,9.00,10.00,,11.00,,12.07,
16.00,17.00,18.90,19.00,10.00,13.50,12.35,16.50,15.20,14.59,20.00,16.25,m,16.00,18.00,15.50,17.00,14.96,,13.25,19.50,16.26,
12.00,13.50,9.50,12.00,8.00,10.00,9.75,14.50,13.50,9.95,10.00,,f,11.75,11.75,,8.00,9.32,,,,12.87,
8.80,11.00,16.10,16.00,14.25,14.50,12.65,17.00,13.40,12.57,17.50,16.75,m,15.50,17.25,16.00,19.00,16.23,,19.00,18.00,15.49,
7.00,9.50,10.70,12.00,,11.00,9.27,,,9.26,17.00,17.00,f,14.50,,16.00,12.50,,,15.00,,14.08,
10.00,10.00,10.00,18.00,10.00,9.00,10.81,12.75,12.50,9.91,16.75,16.50,m,18.25,17.50,14.00,15.50,13.96,,15.00,12.50,14.14,
13.20,11.00,17.20,15.00,8.00,17.00,12.96,11.25,10.60,12.22,18.50,18.00,f,16.50,16.00,17.00,17.50,14.00,16.25,18.25,16.00,15.67,
14.80,10.00,9.50,17.00,10.00,13.00,10.00,10.00,13.20,9.66,16.75,17.00,f,14.25,20.00,15.00,10.00,9.69,,13.50,13.50,13.72,
11.00,12.50,11.05,14.50,17.00,10.00,9.52,10.00,10.40,9.78,12.75,17.25,f,15.75,15.00,14.00,10.00,9.90,,14.25,17.50,14.01,
11.60,13.00,13.25,14.00,8.00,9.00,10.00,13.75,10.40,9.74,11.25,16.75,f,10.50,,18.00,9.00,9.64,,10.00,11.50,13.36,
17.00,19.00,20.00,17.50,11.50,18.50,20.00,18.25,14.60,19.22,18.25,18.75,m,17.50,16.00,19.00,18.75,18.10,,19.75,20.00,18.28,
7.00,9.00,9.50,0.48,,9.00,10.16,,7.60,9.81,,15.75,m,,,10.00,,,,,,12.30,
15.00,12.00,14.55,18.50,10.00,15.00,11.07,16.50,13.80,10.00,15.50,17.75,f,14.00,16.00,16.00,15.25,10.00,,17.50,16.50,15.42,
13.60,13.50,18.80,18.00,14.50,12.50,10.00,13.00,13.20,10.00,19.50,16.75,m,14.50,15.75,17.50,16.50,13.97,,16.75,14.25,15.67,
14.40,14.40,10.00,17.00,10.00,15.00,11.77,11.75,9.50,11.77,17.50,16.50,f,12.75,18.75,16.00,13.00,10.00,14.25,13.00,16.75,14.93,
14.30,11.00,14.15,14.00,12.75,12.00,12.37,10.50,8.40,12.34,10.00,15.75,m,12.50,16.50,17.00,10.00,11.45,,17.50,13.50,14.27,
17.00,15.00,18.97,19.50,10.00,18.50,20.00,16.25,11.80,17.20,20.00,20.00,f,17.25,19.25,17.50,11.25,12.97,17.75,20.00,18.75,17.56,
6.00,9.00,9.50,10.75,13.25,13.00,0.73,,11.20,10.00,15.25,16.00,m,13.25,,17.50,13.75,,,,,12.65,
14.20,17.50,12.55,18.00,14.00,11.00,9.75,14.00,13.40,11.89,19.75,17.75,m,13.00,17.00,15.00,12.00,11.14,,15.50,18.75,15.16,
12.00,15.00,12.55,18.00,12.25,12.00,10.92,10.00,18.80,11.73,17.50,18.80,m,14.25,16.75,17.00,16.75,15.37,,17.50,18.75,15.72,
16.50,18.50,18.39,17.50,12.00,15.50,10.30,11.75,11.80,9.87,16.00,13.50,m,13.50,15.50,17.50,12.50,11.64,,15.00,18.50,15.54,
16.00,15.50,10.00,18.00,10.00,20.00,12.11,10.50,10.00,10.70,17.50,17.50,m,13.00,15.75,17.75,10.50,10.08,,12.25,14.75,15.07,
14.00,12.00,18.65,16.50,17.00,13.00,10.00,14.25,14.20,11.12,20.00,17.75,f,18.50,19.50,17.00,17.50,11.27,12.25,18.50,17.00,16.39,
13.00,9.00,13.30,14.00,15.25,11.00,12.88,13.00,15.00,10.86,19.26,17.75,f,16.50,,15.00,13.00,14.52,11.75,16.25,17.75,15.42,
13.50,16.00,9.25,15.35,17.00,19.00,12.70,19.25,11.40,12.14,13.50,16.75,m,14.00,,18.00,13.25,9.87,,12.75,14.50,15.21,
